,potAbsDelta,potAbsTheta,potAbsAlpha,potAbsBeta,potAbsGamma,kurtosis,RMS,skewness,media,desvio estandar,label
0,217.64423641482367,49.26900519315633,89.26362130621608,95.58034063288629,55.64672070294745,0.5856065425013077,21.551526772612515,0.2856252022570302,6.390122438139582,20.582386680271533,0.0
1,178.28311162434085,68.10761421945459,68.26597926644453,55.24926274631589,21.184490506999417,0.05875040892172656,20.155965383893317,-0.07128604890615955,-1.1546950260984403,20.12286311520826,0.0
2,148.26530903159687,81.87994172200355,29.16034249889624,32.56107377453774,17.223644213135067,0.1685315760454018,20.059845058028333,-0.21641070790869238,-4.901465542102317,19.451812750787198,0.0
3,131.95672700954614,91.34394039690966,18.468433762836344,41.782452139772474,16.610201329965363,-0.00511729455179033,18.680858914592356,0.48266887224339994,-0.2251251669308132,18.67950236077287,0.0
4,171.84708653774112,80.59286546876966,21.834393940395188,24.324345157443098,9.639248891214176,-0.6691401958917136,17.78563484015919,-0.05615019659862741,1.2426068852818608,17.74217390277005,0.0
5,49.95143957497445,266.1945115226864,118.488910002063,33.968660197389546,10.059972147202679,-0.137855194149604,22.604525368403124,-0.3973595908867565,2.536449015034027,22.461767373136812,0.0
6,60.522751851194,694.5808416699085,171.39008351717334,42.32416571885043,8.91711434646499,-0.44633712811811277,30.97621319812356,-0.09401334178994548,-0.9180575378830329,30.9626057439089,0.0
7,46.86921138468691,908.3173178512542,155.50032221088904,71.47252275553406,11.02155253714692,-0.8401842458156805,33.37896145571277,-0.038564995481173404,0.5746518636105231,33.374014488784645,0.0
8,76.57021005788486,566.6054449424545,24.871352507549428,73.75187892567953,16.43668287402118,-0.48512738166108305,26.430782831817922,0.2134346721100759,2.710957013898552,26.291386292310932,0.0
9,80.89525939814003,92.96309670359382,126.07466317514944,172.34840550629087,22.912454271665414,0.3755448251908189,24.91911121859853,0.07969870435915884,-3.9716325257927756,24.600573956819545,0.0
10,58.12741285766273,184.48156187486484,138.89444799637238,111.71162418436002,36.401530658112975,-0.2925000592662954,23.33122914405164,-0.17541418864578023,-0.6163639367713787,23.323086178070266,0.0
11,272.7629867057606,190.84574711769218,104.99235358581022,116.896091733764,18.444991882259913,-0.1307231196963783,25.537901553328705,-0.15491381357342346,-0.048252218558807014,25.537855968559946,0.0
12,170.21513971620556,147.26070340221665,37.550475550418454,328.4891031872916,30.94892741631172,-0.37162065746090267,28.05952039123793,-0.08747422768695735,-1.2981676695384747,28.029474581020285,0.0
13,88.06281212870812,126.96572324476338,55.75859522357421,358.267277480027,22.69212095910655,-0.18956313548982573,24.085509207285522,-0.08924456232906441,-0.023108140221277718,24.085498122066962,0.0
14,179.99681710008423,278.1138928599141,81.96720154566201,415.6911609889492,22.75019095991324,0.2760946523631902,25.946652931974388,0.014293752789844029,0.2806882514611424,25.945134659080626,0.0
15,104.18577645809523,120.54731672066694,103.40794353826492,245.01574731494827,10.387613288541578,0.2255763612624433,25.910703135181507,-0.5403761339636645,-0.41681835703945525,25.90735029710178,0.0
16,245.12613916525316,53.409972528848336,29.43433737147257,47.99745711709485,5.302803770062582,-0.15025435336224513,22.82619327445139,-0.09414506160289379,0.810527573999241,22.811798360813135,0.0
17,23.295887592003012,54.87162800514845,23.298133511896648,46.02474831256077,11.335093475864646,-0.23326435532049405,13.213988225157742,0.1979260278511388,-0.2393929228564085,13.21181955080729,0.0
18,6.287809324078719,132.87880190777648,58.839850565754176,57.028069127253204,3.31273936683478,0.2782184319363217,13.667671276085793,-0.2891974126809367,1.36977711626306,13.59885836248406,0.0
19,59.82321532432766,65.95446140828633,173.21675117702347,150.88135612680742,94.09325999696748,1.4202351427583908,29.06520164343425,0.5036930348097233,-1.5596265378710399,29.02332702561616,0.0
20,9.756272621842724,20.803875619084543,17.005388233806798,31.643076543388815,4.46412738413138,0.08488815864940191,10.36160074389405,0.11574985532283533,0.6627801058302965,10.340381642240354,0.0
21,5.425099867755212,3.926735768568169,18.01017884634415,32.00704330709875,6.564858816941404,-0.4545291059932346,8.925071644938848,-0.011407475441016317,1.4118690603526747,8.812691395011534,0.0
22,37.68847827964405,9.919612976727677,59.12644774299071,35.47033856202825,17.57754747273995,1.2908532116595444,11.496889449328966,-0.09608747912835496,-1.1346939496321276,11.440757695658096,0.0
23,6.481016772644906,2.8281731447517116,51.76414780721446,55.61163414678008,2.6805029499007844,0.005594104224202923,10.717301266853765,-0.15788800089502414,2.9651134879314456,10.298963464746942,0.0
24,11.730059313229662,32.16119019009072,43.892126589608594,29.75797066926508,2.5846342274748757,0.7318297742136588,11.351083671280408,-0.5258486315804328,1.4043759381916003,11.26387272374103,0.0
